verse_id	version
2025022	KJV
2025030	KJV
2026001	KJV
2026006	KJV
2026014	KJV
2026025	KJV
2026030	KJV
2026035	KJV
2027001	KJV
2027008	KJV
2027019	KJV
2028001	KJV
2028005	KJV
2028012	KJV
2028014	KJV
2028021	KJV
2028025	KJV
2028029	KJV
2028030	KJV
2028035	KJV
2028039	KJV
2029001	KJV
2029009	KJV
2029014	KJV
2029018	KJV
2029025	KJV
2029028	KJV
2029030	KJV
2029034	KJV
2029037	KJV
2030001	KJV
2030010	KJV
2030016	KJV
2030021	KJV
2030033	KJV
2031001	KJV
2031011	KJV
2031017	KJV
2032001	KJV
2032006	KJV
2032014	KJV
2032018	KJV
2032024	KJV
2032029	KJV
2033001	KJV
2033003	KJV
2033006	KJV
2033011	KJV
2033016	KJV
2034001	KJV
2034003	KJV
2034009	KJV
2034017	KJV
2034020	KJV
2034024	KJV
2034026	KJV
2034028	KJV
2035001	KJV
2035003	KJV
2035009	KJV
2035019	KJV
2035029	KJV
2036001	KJV
2036001	KJV
2036007	KJV
2036013	KJV
2036019	KJV
2036030	KJV
2036034	KJV
2037001	KJV
2037005	KJV
2037009	KJV
2037016	KJV
2037024	KJV
2037028	KJV
2038001	KJV
2038007	KJV
2038008	KJV
2038020	KJV
2038023	KJV
2039001	KJV
2039001	KJV
2039005	KJV
2039007	KJV
2039021	KJV
2039026	KJV
2039029	KJV
2039031	KJV
2039032	KJV
2040001	KJV
2040016	KJV
2040033	KJV
3001001	KJV
3001002	KJV
3001009	KJV
3001013	KJV
3002001	KJV
3002003	KJV
3002011	KJV
3002013	KJV
3003001	KJV
3003005	KJV
3003011	KJV
3004001	KJV
3004002	KJV
3004012	KJV
3004021	KJV
3004026	KJV
3005001	KJV
3005010	KJV
3005013	KJV
3006001	KJV
3006007	KJV
3006013	KJV
3006018	KJV
3006023	KJV
3007001	KJV
3007007	KJV
3007010	KJV
3007015	KJV
3007018	KJV
3007021	KJV
3007027	KJV
3007034	KJV
3007036	KJV
3008001	KJV
3008005	KJV
3008009	KJV
3008013	KJV
3008017	KJV
3008021	KJV
3008030	KJV
3009001	KJV
3009004	KJV
3009007	KJV
3009014	KJV
3009021	KJV
3010001	KJV
3010007	KJV
3010011	KJV
3010015	KJV
3011001	KJV
3011002	KJV
3011008	KJV
3011012	KJV
3011028	KJV
3012001	KJV
3013001	KJV
3013008	KJV
3013017	KJV
3013023	KJV
3013028	KJV
3013037	KJV
3013046	KJV
3014001	KJV
3014032	KJV
3015001	KJV
3015018	KJV
3016001	KJV
3016014	KJV
3016019	KJV
3016028	KJV
3017001	KJV
3017002	KJV
3017007	KJV
3017009	KJV
3018001	KJV
3018005	KJV
3019001	KJV
3019002	KJV
3019003	KJV
3019004	KJV
3019008	KJV
3019010	KJV
3019011	KJV
3019012	KJV
3019013	KJV
3019014	KJV
3019015	KJV
3019016	KJV
3019017	KJV
3019018	KJV
3019019	KJV
3019022	KJV
3019025	KJV
3019028	KJV
3019029	KJV
3019030	KJV
3019031	KJV
3019032	KJV
3019034	KJV
3020001	KJV
3020005	KJV
3020006	KJV
3020008	KJV
3020009	KJV
3020021	KJV
3020026	KJV
3021001	KJV
3021009	KJV
3021015	KJV
3022001	KJV
3022009	KJV
3022013	KJV
3022016	KJV
3022025	KJV
3023001	KJV
3023003	KJV
3023008	KJV
3023014	KJV
3023022	KJV
3023025	KJV
3023032	KJV
3024001	KJV
3024004	KJV
3024009	KJV
3024016	KJV
3024022	KJV
3025001	KJV
3025007	KJV
3025017	KJV
3025022	KJV
3025024	KJV
3025034	KJV
3025038	KJV
3025046	KJV
3026001	KJV
3026002	KJV
3026013	KJV
3026020	KJV
3026043	KJV
3026045	KJV
3027001	KJV
3027013	KJV
3027025	KJV
4001001	KJV
4001019	KJV
4001021	KJV
4001023	KJV
4001025	KJV
4001027	KJV
4001029	KJV
4001031	KJV
4001033	KJV
4001035	KJV
4001037	KJV
4001039	KJV
4001041	KJV
4001043	KJV
4001046	KJV
4002001	KJV
4002009	KJV
4002016	KJV
4002017	KJV
4002024	KJV
4002031	KJV
4003001	KJV
4003004	KJV
4003010	KJV
4003013	KJV
4003020	KJV
4003026	KJV
4003032	KJV
